Time,Insert Time,Communication Status,Power Factor,Energy ( kilowatt hour ),Voltage Phase R B ( volt )
7-Jan-2021 9:41:59 AM,7-Jan-2021 9:41:09 AM,Normal,1,401943.69,399
7-Jan-2021 9:44:00 AM,7-Jan-2021 9:43:03 AM,Normal,1,401944.59,399
7-Jan-2021 9:46:01 AM,7-Jan-2021 9:45:06 AM,Normal,1,401945.41,399
7-Jan-2021 9:50:01 AM,7-Jan-2021 9:49:05 AM,Normal,1,401946.19,399
7-Jan-2021 9:51:52 AM,7-Jan-2021 9:50:56 AM,Normal,1,401947,399
7-Jan-2021 9:53:52 AM,7-Jan-2021 9:53:02 AM,Normal,1,401947.81,399
7-Jan-2021 10:01:58 AM,7-Jan-2021 10:01:03 AM,Normal,1,401948.59,399
7-Jan-2021 10:03:58 AM,7-Jan-2021 10:03:02 AM,Normal,1,401949.5,398
7-Jan-2021 10:09:53 AM,7-Jan-2021 10:08:58 AM,Normal,1,401950.31,399
7-Jan-2021 10:11:54 AM,7-Jan-2021 10:10:59 AM,Normal,1,401951.09,398
7-Jan-2021 10:19:57 AM,7-Jan-2021 10:19:01 AM,Normal,1,401951.91,398
7-Jan-2021 10:21:58 AM,7-Jan-2021 10:21:02 AM,Normal,1,401952.81,399
7-Jan-2021 10:33:52 AM,7-Jan-2021 10:32:56 AM,Normal,1,401953.59,399
7-Jan-2021 10:35:53 AM,7-Jan-2021 10:35:02 AM,Normal,1,401954.41,399
7-Jan-2021 10:39:55 AM,7-Jan-2021 10:39:00 AM,Normal,1,401955.19,399
7-Jan-2021 10:54:55 AM,7-Jan-2021 10:54:05 AM,Normal,1,401956,399
7-Jan-2021 10:55:57 AM,7-Jan-2021 10:55:01 AM,Normal,1,401956.91,398
7-Jan-2021 10:58:01 AM,7-Jan-2021 10:57:04 AM,Normal,1,401957.69,398
7-Jan-2021 10:59:54 AM,7-Jan-2021 10:58:57 AM,Normal,1,401958.5,399
7-Jan-2021 11:01:58 AM,7-Jan-2021 11:01:03 AM,Normal,1,401959.41,398
7-Jan-2021 11:10:02 AM,7-Jan-2021 11:09:10 AM,Normal,1,401960.19,398
7-Jan-2021 11:11:54 AM,7-Jan-2021 11:11:00 AM,Normal,1,401961,398
7-Jan-2021 11:15:57 AM,7-Jan-2021 11:15:02 AM,Normal,1,401961.81,398
7-Jan-2021 11:24:00 AM,7-Jan-2021 11:23:09 AM,Normal,1,401962.69,399
7-Jan-2021 11:26:01 AM,7-Jan-2021 11:25:05 AM,Normal,1,401963.5,398
7-Jan-2021 11:34:28 AM,7-Jan-2021 11:33:31 AM,Normal,1,401964.31,398
7-Jan-2021 11:44:17 AM,7-Jan-2021 11:43:26 AM,Normal,1,401965.09,399
7-Jan-2021 11:46:17 AM,7-Jan-2021 11:45:23 AM,Normal,1,401966,399
7-Jan-2021 11:48:18 AM,7-Jan-2021 11:47:25 AM,Normal,1,401966.81,399
7-Jan-2021 11:52:19 AM,7-Jan-2021 11:51:22 AM,Normal,1,401967.59,399
7-Jan-2021 12:07:19 PM,7-Jan-2021 12:06:24 PM,Normal,1,401968.5,399
7-Jan-2021 12:08:20 PM,7-Jan-2021 12:07:22 PM,Normal,1,401969.31,398
7-Jan-2021 12:10:20 PM,7-Jan-2021 12:09:24 PM,Normal,1,401970.09,398
7-Jan-2021 12:12:21 PM,7-Jan-2021 12:11:23 PM,Normal,1,401971,398
7-Jan-2021 12:14:21 PM,7-Jan-2021 12:13:23 PM,Normal,1,401971.81,398
7-Jan-2021 12:16:12 PM,7-Jan-2021 12:15:17 PM,Normal,1,401972.5,399
7-Jan-2021 12:28:15 PM,7-Jan-2021 12:27:23 PM,Normal,1,401972.81,398
7-Jan-2021 12:32:18 PM,7-Jan-2021 12:31:25 PM,Normal,1,401973.09,399
7-Jan-2021 12:38:19 PM,7-Jan-2021 12:37:25 PM,Normal,1,401973.41,399
7-Jan-2021 12:40:20 PM,7-Jan-2021 12:39:23 PM,Normal,1,401973.69,399
7-Jan-2021 12:42:20 PM,7-Jan-2021 12:41:22 PM,Normal,1,401974.09,399
7-Jan-2021 12:44:20 PM,7-Jan-2021 12:43:24 PM,Normal,1,401974.41,399
7-Jan-2021 12:48:21 PM,7-Jan-2021 12:47:23 PM,Normal,1,401974.69,399
7-Jan-2021 12:52:21 PM,7-Jan-2021 12:51:24 PM,Normal,1,401975.09,398
7-Jan-2021 12:56:22 PM,7-Jan-2021 12:55:23 PM,Normal,1,401975.41,399
7-Jan-2021 12:58:13 PM,7-Jan-2021 12:57:19 PM,Normal,1,401975.69,399
7-Jan-2021 1:02:15 PM,7-Jan-2021 1:01:18 PM,Normal,1,401976.19,399
7-Jan-2021 1:04:15 PM,7-Jan-2021 1:03:20 PM,Normal,1,401977,399
7-Jan-2021 1:06:17 PM,7-Jan-2021 1:05:19 PM,Normal,1,401977.91,399
7-Jan-2021 1:08:17 PM,7-Jan-2021 1:07:19 PM,Normal,1,401978.69,399
7-Jan-2021 1:12:18 PM,7-Jan-2021 1:11:20 PM,Normal,1,401979.59,399
7-Jan-2021 1:16:20 PM,7-Jan-2021 1:15:25 PM,Normal,1,401980.41,399
7-Jan-2021 1:18:21 PM,7-Jan-2021 1:17:24 PM,Normal,1,401981.31,399
7-Jan-2021 1:22:22 PM,7-Jan-2021 1:21:25 PM,Normal,1,401982.09,400
7-Jan-2021 1:24:23 PM,7-Jan-2021 1:23:26 PM,Normal,1,401983,400
7-Jan-2021 1:28:13 PM,7-Jan-2021 1:27:16 PM,Normal,1,401983.81,399
7-Jan-2021 1:30:14 PM,7-Jan-2021 1:29:18 PM,Normal,1,401984.69,399
7-Jan-2021 1:32:15 PM,7-Jan-2021 1:31:22 PM,Normal,1,401985.5,398
7-Jan-2021 1:34:16 PM,7-Jan-2021 1:33:19 PM,Normal,1,401986.41,399
7-Jan-2021 1:36:16 PM,7-Jan-2021 1:35:21 PM,Normal,1,401987.19,399
7-Jan-2021 1:42:19 PM,7-Jan-2021 1:41:22 PM,Normal,1,401988.09,399
7-Jan-2021 1:44:19 PM,7-Jan-2021 1:43:23 PM,Normal,1,401988.91,400
7-Jan-2021 1:46:19 PM,7-Jan-2021 1:45:21 PM,Normal,1,401989.81,399
7-Jan-2021 1:48:19 PM,7-Jan-2021 1:47:23 PM,Normal,1,401990.59,400
7-Jan-2021 2:03:19 PM,7-Jan-2021 2:02:24 PM,Normal,1,401991.41,400
7-Jan-2021 2:04:21 PM,7-Jan-2021 2:03:25 PM,Normal,1,401992.31,399
7-Jan-2021 2:06:22 PM,7-Jan-2021 2:05:24 PM,Normal,1,401993.09,400
7-Jan-2021 2:12:23 PM,7-Jan-2021 2:11:24 PM,Normal,1,401993.41,400
7-Jan-2021 2:14:13 PM,7-Jan-2021 2:13:17 PM,Normal,1,401993.69,400
7-Jan-2021 2:16:14 PM,7-Jan-2021 2:15:18 PM,Normal,1,401994,400
7-Jan-2021 2:18:16 PM,7-Jan-2021 2:17:19 PM,Normal,1,401994.31,400
7-Jan-2021 2:24:18 PM,7-Jan-2021 2:23:22 PM,Normal,1,401994.59,400
7-Jan-2021 2:26:18 PM,7-Jan-2021 2:25:24 PM,Normal,1,401994.91,400
7-Jan-2021 2:28:18 PM,7-Jan-2021 2:27:23 PM,Normal,1,401995.19,399
7-Jan-2021 2:30:19 PM,7-Jan-2021 2:29:22 PM,Normal,1,401995.5,400
7-Jan-2021 2:38:22 PM,7-Jan-2021 2:37:25 PM,Normal,1,401995.81,399
7-Jan-2021 2:42:14 PM,7-Jan-2021 2:41:19 PM,Normal,1,401996.09,400
7-Jan-2021 2:44:15 PM,7-Jan-2021 2:43:21 PM,Normal,1,401996.41,400
7-Jan-2021 2:50:16 PM,7-Jan-2021 2:49:23 PM,Normal,1,401996.69,400
7-Jan-2021 2:52:17 PM,7-Jan-2021 2:51:20 PM,Normal,1,401997,400
7-Jan-2021 2:54:18 PM,7-Jan-2021 2:53:21 PM,Normal,1,401997.31,400
7-Jan-2021 3:09:18 PM,7-Jan-2021 3:08:25 PM,Normal,1,401997.59,400
7-Jan-2021 3:16:20 PM,7-Jan-2021 3:15:25 PM,Normal,1,401997.91,401
